code_name,course,session,num_q,num_sr,num_po
Evaluation,1D_L17,S2,7,3,4
Example generation,1D_L17,S2,0,0,0
Fact,1D_L17,S2,0,0,0
Next step,1D_L17,S2,14,8,8
Other,1D_L17,S2,0,0,0
Proof framework,1D_L17,S2,0,0,0
Warrant,1D_L17,S2,5,2,4
Total,1D_L17,S2,26,13,16
Convention,1D_L17,S3,0,0,0
Evaluation,1D_L17,S3,1,0,1
Example generation,1D_L17,S3,0,0,0
Fact,1D_L17,S3,3,1,1
Next step,1D_L17,S3,2,0,1
Other,1D_L17,S3,0,0,0
Proof framework,1D_L17,S3,0,0,0
Warrant,1D_L17,S3,0,0,0
Total,1D_L17,S3,6,1,3
Convention,1D_L17,S4,0,0,0
Evaluation,1D_L17,S4,4,3,3
Example generation,1D_L17,S4,0,0,0
Fact,1D_L17,S4,3,1,2
Next step,1D_L17,S4,5,3,5
Other,1D_L17,S4,1,0,1
Proof framework,1D_L17,S4,0,0,0
Warrant,1D_L17,S4,0,0,0
Total,1D_L17,S4,13,7,11
Convention,1D_L21,S1,0,0,0
Evaluation,1D_L21,S1,0,0,0
Example generation,1D_L21,S1,0,0,0
Fact,1D_L21,S1,12,5,6
Next step,1D_L21,S1,0,0,0
Other,1D_L21,S1,0,0,0
Proof framework,1D_L21,S1,0,0,0
Warrant,1D_L21,S1,2,2,2
Total,1D_L21,S1,14,7,8
Convention,1D_L21,S2,0,0,0
Evaluation,1D_L21,S2,0,0,0
Example generation,1D_L21,S2,0,0,0
Fact,1D_L21,S2,3,2,3
Next step,1D_L21,S2,3,1,2
Other,1D_L21,S2,0,0,0
Proof framework,1D_L21,S2,0,0,0
Warrant,1D_L21,S2,0,0,0
Total,1D_L21,S2,6,3,5
Convention,1D_L21,S3,0,0,0
Evaluation,1D_L21,S3,0,0,0
Example generation,1D_L21,S3,0,0,0
Fact,1D_L21,S3,6,0,3
Next step,1D_L21,S3,0,0,0
Other,1D_L21,S3,0,0,0
Proof framework,1D_L21,S3,0,0,0
Warrant,1D_L21,S3,0,0,0
Total,1D_L21,S3,6,0,3
Convention,1D_L21,S4,0,0,0
Evaluation,1D_L21,S4,1,0,0
Example generation,1D_L21,S4,5,5,5
